action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,12.16669249534607,12.250463008880615,11.96621298789978,12.839868783950806,12.89031195640564
insert,1,insert_1,10.374313831329346,12.573027849197388,11.471010208129883,12.698755264282227,13.58577299118042
insert,2,insert_2,10.390381574630737,12.143131017684937,11.127496242523193,11.894377708435059,11.839673519134521
insert,3,insert_3,10.328343868255615,12.135363578796387,11.453579425811768,11.918755531311035,12.536227226257324
insert,4,insert_4,10.433716058731079,12.059777736663818,11.546488761901855,11.895570516586304,12.77600884437561
insert,5,insert_5,10.216854810714722,12.375413656234741,11.159530401229858,12.51374888420105,13.297973394393921
insert,6,insert_6,10.34947943687439,12.323447704315186,11.10634994506836,12.011998176574707,13.458874702453613
insert,7,insert_7,10.716018199920654,12.284048080444336,11.505511999130249,12.344313383102417,12.718493938446045
insert,8,insert_8,10.525859355926514,11.739673376083374,11.836958646774292,11.897718667984009,11.8919038772583
insert,9,insert_9,20.88635802268982,23.812692403793335,22.17772388458252,24.037726163864136,24.53881597518921
upsert,0,upsert_0,677.0434293746948,343.92392134666443,28.598387956619263,29.24062156677246,26.31577157974243
upsert,1,upsert_1,669.6545510292053,344.8525381088257,27.022527933120728,29.499591827392578,27.196101903915405
upsert,2,upsert_2,662.847526550293,345.7192556858063,27.37328290939331,31.695587396621704,26.552513360977173
upsert,3,upsert_3,663.3582925796509,349.0291965007782,27.701958417892456,30.91684603691101,27.306005239486694
upsert,4,upsert_4,672.3231103420258,345.32325315475464,28.311102628707886,32.342172622680664,26.85063648223877
upsert,5,upsert_5,664.566047668457,346.60422015190125,28.34325933456421,31.223783016204834,27.009959936141968
upsert,6,upsert_6,670.6541018486023,347.25203943252563,26.774678707122803,30.07096219062805,27.889756441116333
upsert,7,upsert_7,665.9125845432281,347.15826320648193,27.990785360336304,29.299760341644287,27.98092007637024
upsert,8,upsert_8,663.8414540290833,348.72962164878845,28.316540241241455,31.08870768547058,27.36729860305786
upsert,9,upsert_9,672.0489604473114,348.0747318267822,28.224708318710327,32.76580810546875,27.55958843231201
delete,0,delete_0,668.6700959205627,347.5977830886841,27.74051308631897,31.289636373519897,26.818971633911133
delete,1,delete_1,669.0036325454712,348.9806513786316,28.270765781402588,31.68459916114807,27.36520743370056
delete,2,delete_2,651.6459150314331,348.9261884689331,28.494532108306885,35.045233726501465,27.31683111190796
delete,3,delete_3,647.1717627048492,358.24389934539795,28.060912370681763,32.42110800743103,27.608479738235474
delete,4,delete_4,677.6130256652832,351.72088742256165,27.86557173728943,32.95815110206604,27.081557750701904
delete,5,delete_5,670.1198089122772,349.3766703605652,27.846515655517578,33.12953066825867,27.264225959777832
delete,6,delete_6,671.9520101547241,352.58684730529785,28.42249298095703,34.469165563583374,27.118192434310913
delete,7,delete_7,676.5271284580231,354.1708137989044,28.17788004875183,32.434330224990845,27.003450870513916
delete,8,delete_8,650.7580146789551,350.9254491329193,27.832051753997803,30.31613540649414,27.652273178100586
delete,9,delete_9,672.7323033809662,349.09413981437683,28.378271102905273,33.30767464637756,28.363386869430542
