action,run_nr,file_name,hbase,rondb,rondb_cluster
insert,0,insert_0,18.67269229888916,3.4114527702331543,2.3528358936309814
insert,1,insert_1,18.17139983177185,3.279036521911621,2.3519134521484375
insert,2,insert_2,18.025649309158325,3.348033905029297,2.421694040298462
insert,3,insert_3,18.07637310028076,3.4482808113098145,2.542048931121826
insert,4,insert_4,18.145901918411255,3.6150097846984863,2.590310573577881
insert,5,insert_5,18.237088441848755,3.568479061126709,2.708488702774048
insert,6,insert_6,18.366661310195923,3.721923828125,2.782027006149292
insert,7,insert_7,19.368314504623413,3.9679112434387207,2.8812479972839355
insert,8,insert_8,18.370880842208862,3.9879252910614014,3.028427839279175
insert,9,insert_9,19.77208948135376,4.249873876571655,3.46770977973938
upsert,0,upsert_0,53.52681827545166,5.766119480133057,4.068964958190918
upsert,1,upsert_1,51.41864609718323,5.62690544128418,3.917799711227417
upsert,2,upsert_2,48.02059507369995,5.115259647369385,3.7918667793273926
upsert,3,upsert_3,46.05422067642212,5.373484134674072,3.659111738204956
upsert,4,upsert_4,43.89453101158142,5.261286735534668,3.6320440769195557
upsert,5,upsert_5,42.94340372085571,5.247742176055908,3.8192641735076904
upsert,6,upsert_6,41.04543995857239,5.194610595703125,3.8441216945648193
upsert,7,upsert_7,38.14763927459717,5.302840232849121,3.847433567047119
upsert,8,upsert_8,37.14939999580383,5.450030565261841,3.815408945083618
upsert,9,upsert_9,36.19447588920593,5.188102722167969,4.003167629241943
delete,0,delete_0,7.318014860153198,5.134758949279785,4.115150451660156
delete,1,delete_1,7.174759864807129,5.044841289520264,4.108665466308594
delete,2,delete_2,7.141866445541382,5.003017425537109,3.9332053661346436
delete,3,delete_3,7.108981370925903,4.890475034713745,3.9231531620025635
delete,4,delete_4,7.086028099060059,4.8552634716033936,3.798146963119507
delete,5,delete_5,7.063862562179565,4.875930547714233,3.756376028060913
delete,6,delete_6,6.88470196723938,4.730003356933594,3.7521564960479736
delete,7,delete_7,6.793234348297119,4.662625789642334,3.6671626567840576
delete,8,delete_8,6.781076192855835,4.668244123458862,3.630648612976074
delete,9,delete_9,6.798061847686768,4.8605170249938965,3.6314239501953125
