action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,3.3964977264404297,2.8393051624298096,2.362215757369995,2.345334529876709,2.7794926166534424
insert,1,insert_1,3.023345947265625,2.8212149143218994,2.1992099285125732,2.2980380058288574,2.757490396499634
insert,2,insert_2,2.9178547859191895,2.761685371398926,2.08848237991333,2.369807243347168,2.7501752376556396
insert,3,insert_3,2.4102704524993896,2.836935520172119,2.0595650672912598,2.3333816528320312,2.739981174468994
insert,4,insert_4,2.404275417327881,2.8032190799713135,2.0694451332092285,2.3263914585113525,2.705113172531128
insert,5,insert_5,2.3603272438049316,2.8269591331481934,2.0958454608917236,2.3925626277923584,2.7334415912628174
insert,6,insert_6,2.4370927810668945,2.8818585872650146,2.1797566413879395,2.3218483924865723,2.7736668586730957
insert,7,insert_7,2.847489356994629,2.770251989364624,2.09317946434021,2.2666022777557373,2.7788853645324707
insert,8,insert_8,2.8302032947540283,2.8186187744140625,2.0963897705078125,2.335198402404785,2.7857255935668945
insert,9,insert_9,3.321298837661743,3.1656076908111572,2.5712437629699707,2.664860248565674,3.0287835597991943
upsert,0,upsert_0,10.719408988952637,17.075066566467285,7.7141454219818115,8.433339834213257,8.69272780418396
upsert,1,upsert_1,10.471815347671509,16.872040510177612,8.745636224746704,8.256055355072021,8.6407310962677
upsert,2,upsert_2,10.134199619293213,17.26082420349121,8.929240226745605,8.84285831451416,8.34773850440979
upsert,3,upsert_3,9.90454626083374,21.40866184234619,8.078962326049805,8.425643920898438,9.04316520690918
upsert,4,upsert_4,10.157936811447144,19.264304876327515,8.392293930053711,8.20060110092163,8.790506362915039
upsert,5,upsert_5,9.925058364868164,18.377016305923462,8.932580947875977,8.524141311645508,8.627305030822754
upsert,6,upsert_6,9.855990648269653,17.52465009689331,8.19007134437561,8.506506204605103,8.825122356414795
upsert,7,upsert_7,9.948747873306274,21.73158311843872,8.386293888092041,8.063870668411255,8.549222469329834
upsert,8,upsert_8,9.933407545089722,20.48529863357544,8.578447818756104,9.012373924255371,8.678615808486938
upsert,9,upsert_9,9.865024089813232,19.697166681289673,8.774289846420288,8.505637884140015,8.826999425888062
delete,0,delete_0,10.135476350784302,17.68368887901306,8.67598295211792,8.6417236328125,8.694571256637573
delete,1,delete_1,9.880256414413452,17.217241525650024,8.758911609649658,8.678776979446411,9.28909158706665
delete,2,delete_2,9.90280270576477,17.424776077270508,8.424509286880493,8.29355502128601,8.397154569625854
delete,3,delete_3,10.171538829803467,16.497345685958862,9.019139766693115,8.598562955856323,8.731598377227783
delete,4,delete_4,9.844961404800415,16.9181547164917,8.611088991165161,8.464091539382935,8.814911842346191
delete,5,delete_5,9.803094625473022,16.043291568756104,8.426597833633423,8.799629926681519,8.435730457305908
delete,6,delete_6,9.888145685195923,16.773888111114502,8.481579065322876,8.26020884513855,8.809489011764526
delete,7,delete_7,10.101147651672363,16.293474435806274,8.993594884872437,8.479221820831299,8.739818572998047
delete,8,delete_8,9.742732524871826,16.86032247543335,8.333053827285767,8.105942249298096,8.670439720153809
delete,9,delete_9,9.774529457092285,20.298835515975952,8.244019985198975,8.355387687683105,8.935479402542114
