action,run_nr,file_name,hbase,rondb,rondb_cluster
insert,0,insert_0,5.66817831993103,3.389704942703247,2.2890465259552
insert,1,insert_1,5.233872175216675,3.3329951763153076,2.308156967163086
insert,2,insert_2,5.134845972061157,3.4038593769073486,2.4282684326171875
insert,3,insert_3,5.239330053329468,3.431943655014038,2.584038734436035
insert,4,insert_4,5.191944360733032,3.600231647491455,2.597923755645752
insert,5,insert_5,5.288386821746826,3.758777141571045,2.724363327026367
insert,6,insert_6,5.234970808029175,4.167144298553467,2.788613796234131
insert,7,insert_7,5.304540157318115,4.363635540008545,2.902519702911377
insert,8,insert_8,5.323339462280273,3.9796745777130127,3.0228750705718994
insert,9,insert_9,5.905833959579468,4.381268501281738,3.3415377140045166
upsert,0,upsert_0,13.52951169013977,5.742410898208618,4.342981576919556
upsert,1,upsert_1,13.285005331039429,5.384717226028442,3.968787431716919
upsert,2,upsert_2,11.923621654510498,5.390599250793457,3.891904830932617
upsert,3,upsert_3,11.941009998321533,5.4048802852630615,3.9764881134033203
upsert,4,upsert_4,10.843413352966309,5.327055931091309,3.958034038543701
upsert,5,upsert_5,10.86928653717041,5.211658954620361,3.8750810623168945
upsert,6,upsert_6,10.949149131774902,5.28999400138855,3.8783481121063232
upsert,7,upsert_7,10.136479377746582,5.916334867477417,3.9294748306274414
upsert,8,upsert_8,10.267785549163818,5.622314214706421,4.145569086074829
upsert,9,upsert_9,10.112865209579468,6.005075693130493,4.11539626121521
delete,0,delete_0,4.770273208618164,5.396320343017578,4.73947286605835
delete,1,delete_1,4.7839133739471436,5.214360475540161,4.289677858352661
delete,2,delete_2,4.703057289123535,5.183463096618652,4.088263988494873
delete,3,delete_3,4.746183156967163,5.069988965988159,4.060352802276611
delete,4,delete_4,4.6340601444244385,5.107841968536377,4.1410462856292725
delete,5,delete_5,4.602037668228149,5.161854267120361,3.9823739528656006
delete,6,delete_6,4.5078980922698975,5.035463809967041,4.047255754470825
delete,7,delete_7,4.570127725601196,4.756054878234863,3.9458279609680176
delete,8,delete_8,4.41622257232666,4.813852310180664,3.8396072387695312
delete,9,delete_9,4.4459381103515625,4.667069435119629,3.8722286224365234
