action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,1.4323956966400146,1.0444180965423584,0.9691083431243896,0.8990390300750732,0.9450180530548096
insert,1,insert_1,1.1822357177734375,0.8283519744873047,0.8749411106109619,0.9100289344787598,0.8308963775634766
insert,2,insert_2,1.0182442665100098,0.8145432472229004,0.9022510051727295,0.9665131568908691,0.8068497180938721
insert,3,insert_3,1.0169792175292969,0.9586830139160156,1.081894874572754,0.8409521579742432,0.8389804363250732
insert,4,insert_4,1.0688767433166504,0.9004359245300293,0.8793938159942627,0.832697868347168,0.8513290882110596
insert,5,insert_5,0.9964773654937744,0.832106351852417,1.0124499797821045,1.0142087936401367,0.9619677066802979
insert,6,insert_6,1.052727460861206,1.0001945495605469,0.8942348957061768,0.8798635005950928,0.8358008861541748
insert,7,insert_7,1.0193605422973633,0.8331954479217529,1.0150094032287598,0.8620383739471436,0.8387594223022461
insert,8,insert_8,0.9829182624816895,0.9755265712738037,0.8992331027984619,1.0430030822753906,0.9674201011657715
insert,9,insert_9,1.505028247833252,1.108680248260498,1.6397082805633545,1.1456236839294434,1.0814313888549805
upsert,0,upsert_0,2.3023295402526855,2.961482048034668,1.3297011852264404,1.434844732284546,1.3927280902862549
upsert,1,upsert_1,1.9046237468719482,2.780212640762329,1.2872018814086914,1.1423728466033936,1.0899322032928467
upsert,2,upsert_2,1.9948399066925049,3.1155073642730713,1.1900274753570557,1.3506369590759277,1.2579824924468994
upsert,3,upsert_3,1.9959571361541748,2.8680784702301025,1.347480058670044,1.1479356288909912,1.114210605621338
upsert,4,upsert_4,1.8996155261993408,3.0082740783691406,1.2956805229187012,1.3361210823059082,1.234649896621704
upsert,5,upsert_5,1.8723633289337158,3.1798784732818604,1.1766393184661865,1.1425457000732422,1.1547503471374512
upsert,6,upsert_6,1.6836957931518555,3.170445203781128,1.301980972290039,1.2607519626617432,1.3002715110778809
upsert,7,upsert_7,1.811784029006958,2.803135395050049,1.160933017730713,1.1847233772277832,1.096658706665039
upsert,8,upsert_8,1.814119815826416,2.7799720764160156,1.332960844039917,1.3775348663330078,1.2595980167388916
upsert,9,upsert_9,1.8432350158691406,2.9295787811279297,1.3199679851531982,1.2104451656341553,1.1497869491577148
delete,0,delete_0,1.6836495399475098,2.7566535472869873,1.249399185180664,1.3289105892181396,1.3459882736206055
delete,1,delete_1,1.833979606628418,2.954319715499878,1.387357473373413,1.3528101444244385,1.1838932037353516
delete,2,delete_2,1.912332534790039,2.985788345336914,1.3632335662841797,1.22369384765625,1.3079171180725098
delete,3,delete_3,1.8282546997070312,2.677283763885498,1.2352221012115479,1.374288558959961,1.2609574794769287
delete,4,delete_4,1.8291285037994385,2.7903592586517334,1.412935495376587,1.2203483581542969,1.3299298286437988
delete,5,delete_5,1.6888058185577393,2.710223436355591,1.3565101623535156,1.3660061359405518,1.1836252212524414
delete,6,delete_6,1.8470637798309326,2.8769876956939697,1.296581745147705,1.2900915145874023,1.3217921257019043
delete,7,delete_7,1.777578592300415,2.6681575775146484,1.3636748790740967,1.4008159637451172,1.2119338512420654
delete,8,delete_8,1.7995693683624268,2.7199084758758545,1.266754388809204,1.2475636005401611,1.302335262298584
delete,9,delete_9,1.6655323505401611,2.9191081523895264,1.3669545650482178,1.3531670570373535,1.1779112815856934
