action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,3.2604520320892334,3.096801519393921,2.1506893634796143,2.930539608001709,2.9358716011047363
insert,1,insert_1,3.0878894329071045,2.9100050926208496,2.2291722297668457,2.9242255687713623,2.937617301940918
insert,2,insert_2,3.0802507400512695,2.845283031463623,2.262679100036621,2.8881428241729736,2.9995856285095215
insert,3,insert_3,3.084946870803833,2.9604625701904297,2.223180055618286,2.8847639560699463,3.052934408187866
insert,4,insert_4,2.967160940170288,2.8738553524017334,2.259619951248169,3.020836353302002,2.9440762996673584
insert,5,insert_5,3.0095772743225098,2.9130959510803223,2.3568501472473145,3.027095317840576,2.971526622772217
insert,6,insert_6,2.9339547157287598,3.076171636581421,2.2085189819335938,3.088608741760254,3.1038661003112793
insert,7,insert_7,3.085724353790283,3.013770580291748,2.185187339782715,3.030254602432251,3.0257370471954346
insert,8,insert_8,2.8481361865997314,3.0430948734283447,2.1998350620269775,3.0499610900878906,3.052414894104004
insert,9,insert_9,3.6570441722869873,3.4124836921691895,2.841752529144287,3.463763952255249,3.565906524658203
upsert,0,upsert_0,35.681676387786865,77.70602464675903,27.654536485671997,29.050251007080078,29.046449422836304
upsert,1,upsert_1,33.9904842376709,78.17692732810974,28.97929811477661,29.677542209625244,28.812030792236328
upsert,2,upsert_2,31.9466335773468,75.34920001029968,25.694472074508667,27.710601568222046,26.64482569694519
upsert,3,upsert_3,33.155925035476685,76.4854097366333,27.687069416046143,27.799896478652954,27.118534564971924
upsert,4,upsert_4,34.87153720855713,79.7864420413971,28.515290021896362,29.845357418060303,30.37238335609436
upsert,5,upsert_5,33.95564079284668,78.23998808860779,28.637778282165527,29.19789409637451,28.95190978050232
upsert,6,upsert_6,32.59966492652893,76.87893033027649,26.36676836013794,28.28324580192566,28.641760110855103
upsert,7,upsert_7,34.63245940208435,79.07530546188354,28.226461172103882,30.254536151885986,29.640357971191406
upsert,8,upsert_8,33.744909048080444,79.07809901237488,27.28991961479187,28.841201782226562,28.827067375183105
upsert,9,upsert_9,33.95039772987366,79.35923647880554,29.009767055511475,30.42626953125,30.395190715789795
delete,0,delete_0,30.78257703781128,76.64886569976807,25.9505934715271,27.186787128448486,26.766445875167847
delete,1,delete_1,31.769251108169556,79.53641533851624,27.866087675094604,28.55109167098999,28.59159827232361
delete,2,delete_2,32.80215859413147,81.23216581344604,28.540374279022217,28.67173743247986,28.596742153167725
delete,3,delete_3,34.207592248916626,83.17071056365967,30.168517112731934,31.05243492126465,30.045348405838013
delete,4,delete_4,32.568360567092896,80.8872606754303,28.87554693222046,29.02030873298645,28.951462745666504
delete,5,delete_5,34.486039876937866,81.05480885505676,30.984468460083008,31.09840178489685,30.766859531402588
delete,6,delete_6,35.14049959182739,81.12074613571167,31.539507150650024,31.20536780357361,31.92222547531128
delete,7,delete_7,33.803608655929565,79.86118078231812,28.69698977470398,28.75396728515625,29.124094486236572
delete,8,delete_8,34.08110046386719,80.32488131523132,29.521318674087524,30.436894416809082,31.003491163253784
delete,9,delete_9,34.113951206207275,80.78102326393127,29.81772017478943,30.604630708694458,30.382184982299805
