action,run_nr,file_name,hbase,rondb,rondb_cluster
insert,0,insert_0,6.544546127319336,3.7802066802978516,2.3138413429260254
insert,1,insert_1,6.263005971908569,3.9564812183380127,2.3677847385406494
insert,2,insert_2,6.108080148696899,4.129493713378906,2.5077953338623047
insert,3,insert_3,6.118236780166626,3.622671365737915,2.552690029144287
insert,4,insert_4,6.217670440673828,3.6720449924468994,2.59902286529541
insert,5,insert_5,6.1746132373809814,3.6204686164855957,2.798719644546509
insert,6,insert_6,6.223222970962524,3.8086798191070557,2.809904098510742
insert,7,insert_7,6.388802528381348,4.160910606384277,2.9614994525909424
insert,8,insert_8,6.407417297363281,3.9556150436401367,2.9374091625213623
insert,9,insert_9,6.985874176025391,4.430419206619263,3.308030366897583
upsert,0,upsert_0,17.274462938308716,5.710967779159546,4.249003648757935
upsert,1,upsert_1,16.93060874938965,5.461485385894775,3.993173599243164
upsert,2,upsert_2,15.880114555358887,5.3504478931427,3.902958393096924
upsert,3,upsert_3,14.783816576004028,5.400151491165161,3.8952367305755615
upsert,4,upsert_4,14.7183358669281,5.7532958984375,3.867494821548462
upsert,5,upsert_5,13.645254850387573,5.62467885017395,3.902174711227417
upsert,6,upsert_6,13.792527198791504,6.217409133911133,3.9395947456359863
upsert,7,upsert_7,13.09919023513794,5.5598366260528564,3.955047607421875
upsert,8,upsert_8,13.107771635055542,5.816161870956421,4.067065954208374
upsert,9,upsert_9,12.128215789794922,5.486322641372681,3.968996524810791
delete,0,delete_0,4.911658763885498,5.06101131439209,4.279248237609863
delete,1,delete_1,4.777429819107056,5.196366786956787,4.1544084548950195
delete,2,delete_2,4.707268953323364,5.316263437271118,4.165927410125732
delete,3,delete_3,4.803347587585449,5.081614017486572,4.009006500244141
delete,4,delete_4,4.685752868652344,5.258426904678345,4.042181968688965
delete,5,delete_5,4.425881385803223,5.103511095046997,3.8628835678100586
delete,6,delete_6,4.568118572235107,5.238128423690796,3.850189447402954
delete,7,delete_7,4.449434041976929,4.951905965805054,3.7704954147338867
delete,8,delete_8,4.457115173339844,5.101614952087402,3.805558204650879
delete,9,delete_9,4.449280261993408,4.944828748703003,3.8477001190185547
