action,run_nr,file_name,rondb,rondb_cluster
insert,0,insert_0,4.554603815078735,2.7079479694366455
insert,1,insert_1,4.070289611816406,3.069707155227661
insert,2,insert_2,4.025505065917969,3.0481462478637695
insert,3,insert_3,3.992794990539551,3.314347743988037
insert,4,insert_4,4.1508948802948,3.317566156387329
insert,5,insert_5,4.209888219833374,3.453324794769287
insert,6,insert_6,4.403424024581909,3.297123670578003
insert,7,insert_7,4.460124492645264,3.343782901763916
insert,8,insert_8,4.514140844345093,3.393707752227783
insert,9,insert_9,5.011279106140137,3.7403478622436523
upsert,0,upsert_0,8.842974424362183,4.840972423553467
upsert,1,upsert_1,8.289836645126343,4.76064658164978
upsert,2,upsert_2,8.269720792770386,4.766021251678467
upsert,3,upsert_3,8.125437021255493,4.901238441467285
upsert,4,upsert_4,8.278549671173096,4.654512643814087
upsert,5,upsert_5,7.977890729904175,4.984663963317871
upsert,6,upsert_6,8.651621580123901,4.731213331222534
upsert,7,upsert_7,7.765037298202515,4.770838975906372
upsert,8,upsert_8,8.098720073699951,4.97942590713501
upsert,9,upsert_9,7.886455297470093,4.916319131851196
delete,0,delete_0,9.329794883728027,4.922874689102173
delete,1,delete_1,9.066665172576904,4.975398540496826
delete,2,delete_2,9.13224720954895,4.930748701095581
delete,3,delete_3,8.97118878364563,4.822329521179199
delete,4,delete_4,8.887176990509033,4.683693885803223
delete,5,delete_5,8.780427932739258,4.670228004455566
delete,6,delete_6,8.88339352607727,4.936564922332764
delete,7,delete_7,8.568469047546387,4.626858949661255
delete,8,delete_8,8.708917140960693,4.518695592880249
delete,9,delete_9,8.58251667022705,4.507817506790161
