action,run_nr,file_name,hbase,rondb,rondb_cluster
insert,0,insert_0,6.767188310623169,3.3254618644714355,2.4018640518188477
insert,1,insert_1,6.224178075790405,3.296297788619995,2.532007932662964
insert,2,insert_2,6.018014430999756,3.889186143875122,2.608686685562134
insert,3,insert_3,6.178805112838745,4.437345266342163,2.7163290977478027
insert,4,insert_4,6.2111265659332275,3.7296714782714844,2.781770706176758
insert,5,insert_5,6.2756874561309814,3.6885557174682617,2.924631357192993
insert,6,insert_6,6.3733673095703125,4.152577638626099,2.9793131351470947
insert,7,insert_7,6.543024301528931,4.80842661857605,2.938462257385254
insert,8,insert_8,6.5851686000823975,4.596181631088257,3.1166763305664062
insert,9,insert_9,7.148991346359253,5.20028281211853,3.607419967651367
upsert,0,upsert_0,16.885284900665283,5.7017502784729,4.5206098556518555
upsert,1,upsert_1,15.165924787521362,6.318993091583252,4.086143255233765
upsert,2,upsert_2,14.010039567947388,6.818753719329834,4.048609018325806
upsert,3,upsert_3,13.805990934371948,6.682224988937378,4.08971643447876
upsert,4,upsert_4,12.807321310043335,5.820263862609863,4.008707046508789
upsert,5,upsert_5,12.883962392807007,6.231223821640015,4.009832382202148
upsert,6,upsert_6,12.74963903427124,5.541339635848999,4.026892900466919
upsert,7,upsert_7,12.068247079849243,5.295115947723389,4.080432891845703
upsert,8,upsert_8,12.338092565536499,5.410279035568237,4.146807909011841
upsert,9,upsert_9,11.242029905319214,5.813673734664917,4.3399903774261475
delete,0,delete_0,5.117070198059082,5.579414367675781,4.38554048538208
delete,1,delete_1,5.324342966079712,5.433055400848389,4.383519411087036
delete,2,delete_2,5.028230905532837,5.278508901596069,4.263532876968384
delete,3,delete_3,4.999462842941284,5.354508638381958,4.2340662479400635
delete,4,delete_4,4.9004740715026855,5.0569541454315186,4.184061288833618
delete,5,delete_5,4.977104187011719,5.323164701461792,3.9211013317108154
delete,6,delete_6,5.0312628746032715,4.976427316665649,3.9441473484039307
delete,7,delete_7,4.643614053726196,4.746147394180298,3.7911810874938965
delete,8,delete_8,4.5546629428863525,4.74993109703064,3.956756114959717
delete,9,delete_9,4.697811841964722,5.12457275390625,3.8690402507781982
