action,run_nr,file_name,bloom,simple,hbase,rondb,rondb_cluster
insert,0,insert_0,4.963648319244385,4.330948114395142,2.908189535140991,4.312268495559692,4.361662149429321
insert,1,insert_1,4.527621746063232,4.434406518936157,3.0819849967956543,4.298459053039551,4.36818528175354
insert,2,insert_2,4.574273347854614,4.298442363739014,2.799896001815796,4.260177850723267,4.328554630279541
insert,3,insert_3,4.560640096664429,4.39902925491333,2.8918981552124023,4.355175971984863,4.410685300827026
insert,4,insert_4,4.65192985534668,4.36758828163147,3.0531420707702637,4.459990739822388,4.286069869995117
insert,5,insert_5,4.40887451171875,4.3757734298706055,3.0089974403381348,4.393374681472778,4.32529354095459
insert,6,insert_6,4.530351877212524,4.5563132762908936,3.0100691318511963,4.285588502883911,4.44595742225647
insert,7,insert_7,4.666358709335327,4.359236240386963,2.9858436584472656,4.362661361694336,3.9084701538085938
insert,8,insert_8,4.441442251205444,4.280255079269409,2.943328857421875,4.335057258605957,3.8436756134033203
insert,9,insert_9,4.866565465927124,4.729479074478149,3.405137538909912,4.622490167617798,4.21019983291626
upsert,0,upsert_0,10.14569091796875,16.727854251861572,6.720126152038574,8.261635541915894,8.979840517044067
upsert,1,upsert_1,9.603442192077637,16.15356969833374,8.385089635848999,8.203603744506836,8.179966926574707
upsert,2,upsert_2,9.689831972122192,16.194002628326416,7.435779333114624,8.178104639053345,8.06906509399414
upsert,3,upsert_3,9.437746047973633,16.97849178314209,7.494237899780273,8.113749742507935,8.192541599273682
upsert,4,upsert_4,9.477556228637695,15.695873260498047,7.276853084564209,8.891809225082397,8.025991678237915
upsert,5,upsert_5,9.202481508255005,16.40499496459961,7.860433340072632,8.152672529220581,8.160266160964966
upsert,6,upsert_6,9.838173389434814,16.01280903816223,7.28041410446167,8.16122055053711,8.095316886901855
upsert,7,upsert_7,9.377072811126709,16.52945613861084,7.26486873626709,8.15842580795288,8.711814641952515
upsert,8,upsert_8,9.823975086212158,15.74683141708374,7.542392015457153,8.152210474014282,8.12389874458313
upsert,9,upsert_9,9.44916319847107,16.291573524475098,8.13510251045227,8.199983835220337,8.143043756484985
delete,0,delete_0,9.466871976852417,16.692168951034546,7.417454242706299,8.675797939300537,8.121946573257446
delete,1,delete_1,9.382203102111816,16.238409996032715,7.4043755531311035,8.225864171981812,8.345078468322754
delete,2,delete_2,9.458837270736694,16.389914751052856,7.652300596237183,8.189988374710083,8.06400752067566
delete,3,delete_3,9.442880153656006,16.859867334365845,7.88684868812561,8.272767066955566,8.25497579574585
delete,4,delete_4,9.273801803588867,16.006224632263184,7.5009119510650635,8.258289098739624,8.435449123382568
delete,5,delete_5,9.371554374694824,16.815590381622314,7.329113721847534,8.267831563949585,8.289830446243286
delete,6,delete_6,9.369387865066528,15.971413612365723,7.4055469036102295,8.724976778030396,8.097986459732056
delete,7,delete_7,9.353607416152954,16.57761573791504,7.918801784515381,8.341994047164917,8.21444034576416
delete,8,delete_8,9.536547899246216,16.388520002365112,7.203868389129639,8.235442876815796,8.439902782440186
delete,9,delete_9,9.365651369094849,16.633758306503296,7.335616588592529,8.255347728729248,8.138019323348999
