action,run_nr,file_name,hbase,rondb,rondb_cluster
insert,0,insert_0,10.786334037780762,3.4577713012695312,2.407944917678833
insert,1,insert_1,10.227723836898804,3.277233123779297,2.375756025314331
insert,2,insert_2,10.069717168807983,3.3677523136138916,2.445876359939575
insert,3,insert_3,10.072788953781128,3.5103046894073486,2.6639440059661865
insert,4,insert_4,10.17721700668335,3.6987221240997314,2.6127140522003174
insert,5,insert_5,10.221694469451904,3.625869035720825,2.7497293949127197
insert,6,insert_6,10.35435962677002,3.7327377796173096,2.839292287826538
insert,7,insert_7,10.396484136581421,3.969834804534912,2.98748517036438
insert,8,insert_8,10.393696546554565,4.078558683395386,3.0183591842651367
insert,9,insert_9,11.015867471694946,4.3588104248046875,3.3868160247802734
upsert,0,upsert_0,28.377548933029175,5.664605379104614,4.274235248565674
upsert,1,upsert_1,27.16182780265808,5.269170761108398,3.950599193572998
upsert,2,upsert_2,25.131649494171143,5.531321287155151,3.8851327896118164
upsert,3,upsert_3,24.007601976394653,5.579606056213379,3.888345956802368
upsert,4,upsert_4,22.959614038467407,5.390415906906128,3.822880506515503
upsert,5,upsert_5,22.938117504119873,5.602829694747925,3.882570505142212
upsert,6,upsert_6,21.985055923461914,5.625305652618408,3.913806915283203
upsert,7,upsert_7,20.123100757598877,6.217655420303345,3.9169981479644775
upsert,8,upsert_8,20.134508848190308,5.6152753829956055,4.004517316818237
upsert,9,upsert_9,19.196115970611572,5.309467315673828,4.098444700241089
delete,0,delete_0,5.264900207519531,5.01738715171814,4.231010675430298
delete,1,delete_1,5.19434118270874,5.133958578109741,4.192645072937012
delete,2,delete_2,5.154960870742798,5.013622522354126,4.105274677276611
delete,3,delete_3,5.0269775390625,4.941889524459839,4.067727327346802
delete,4,delete_4,5.072600841522217,4.867211580276489,3.9762229919433594
delete,5,delete_5,4.963207006454468,4.750699281692505,3.8843350410461426
delete,6,delete_6,4.878294467926025,4.825620651245117,3.8510215282440186
delete,7,delete_7,4.828999996185303,5.2491865158081055,3.8039324283599854
delete,8,delete_8,4.864266395568848,4.911053895950317,3.859027862548828
delete,9,delete_9,4.747557878494263,4.968766689300537,3.7881124019622803
